highway,date,origin_city,destination_city,rainfall_mm,temp_c,disruption,event_type
NH-48,2024-09-20,Bangalore,Chennai,25.0,30,0,clear
NH-48,2024-10-10,Chennai,Bangalore,15.0,31,0,clear
NH-48,2024-11-05,Bangalore,Pune,120.0,25,1,flood
NH-48,2024-11-20,Pune,Mumbai,100.0,26,1,monsoon
NH-48,2024-12-10,Mumbai,Delhi,10.0,28,0,clear
NH-65,2024-01-15,Hyderabad,Pune,8.0,30,0,clear
NH-65,2024-02-10,Pune,Hyderabad,12.0,31,0,clear
NH-65,2024-03-05,Hyderabad,Vijayawada,5.0,34,0,clear
NH-65,2024-04-20,Vijayawada,Hyderabad,0.0,38,0,clear
NH-65,2024-05-15,Hyderabad,Pune,30.0,32,0,clear
NH-65,2024-06-01,Pune,Hyderabad,75.0,27,1,monsoon
NH-65,2024-06-15,Hyderabad,Vijayawada,95.0,26,1,flood
NH-65,2024-07-10,Vijayawada,Hyderabad,110.0,25,1,flood
NH-65,2024-07-25,Hyderabad,Pune,85.0,27,1,monsoon
NH-65,2024-08-10,Pune,Hyderabad,70.0,28,0,clear
NH-65,2024-08-25,Hyderabad,Vijayawada,55.0,29,0,clear
NH-65,2024-09-10,Vijayawada,Hyderabad,40.0,30,0,clear
NH-65,2024-10-01,Hyderabad,Pune,20.0,31,0,clear
NH-65,2024-11-05,Pune,Hyderabad,15.0,30,0,clear
NH-65,2024-12-10,Hyderabad,Vijayawada,5.0,29,0,clear
NH-16,2024-01-15,Chennai,Vijayawada,10.0,29,0,clear
NH-16,2024-02-10,Vijayawada,Visakhapatnam,15.0,28,0,clear
NH-16,2024-03-05,Chennai,Vijayawada,5.0,32,0,clear
NH-16,2024-04-20,Vijayawada,Visakhapatnam,0.0,35,0,clear
NH-16,2024-05-15,Chennai,Vijayawada,40.0,30,1,strike
NH-16,2024-06-01,Vijayawada,Visakhapatnam,80.0,27,1,monsoon
NH-16,2024-06-15,Chennai,Vijayawada,95.0,26,1,flood
NH-16,2024-07-10,Vijayawada,Visakhapatnam,100.0,25,1,flood
NH-16,2024-07-25,Chennai,Vijayawada,78.0,27,1,monsoon
NH-16,2024-08-10,Vijayawada,Visakhapatnam,65.0,28,0,clear
NH-16,2024-09-05,Chennai,Vijayawada,45.0,29,0,clear
NH-16,2024-09-20,Vijayawada,Visakhapatnam,30.0,30,0,clear
NH-16,2024-10-10,Chennai,Vijayawada,20.0,31,0,clear
NH-16,2024-11-05,Vijayawada,Chennai,140.0,24,1,cyclone
NH-16,2024-11-20,Chennai,Vijayawada,120.0,25,1,flood
NH-16,2024-12-10,Vijayawada,Visakhapatnam,10.0,28,0,clear
NH-275,2024-01-15,Bangalore,Mysore,5.0,26,0,clear
NH-275,2024-02-10,Mysore,Bangalore,8.0,27,0,clear
NH-275,2024-03-05,Bangalore,Coimbatore,10.0,30,0,clear
NH-275,2024-04-20,Coimbatore,Bangalore,5.0,33,0,clear
NH-275,2024-05-15,Bangalore,Mysore,20.0,31,0,clear
NH-275,2024-06-01,Mysore,Coimbatore,85.0,24,1,monsoon
NH-275,2024-06-15,Coimbatore,Bangalore,90.0,23,1,monsoon
NH-275,2024-07-10,Bangalore,Mysore,100.0,22,1,flood
NH-275,2024-07-25,Mysore,Coimbatore,110.0,23,1,landslide
NH-275,2024-08-10,Coimbatore,Bangalore,88.0,25,1,monsoon
NH-275,2024-09-05,Bangalore,Mysore,50.0,27,0,clear
NH-275,2024-09-20,Mysore,Coimbatore,35.0,28,0,clear
NH-275,2024-10-10,Coimbatore,Bangalore,25.0,29,0,clear
NH-275,2024-11-05,Bangalore,Mysore,60.0,25,0,clear
NH-275,2024-11-20,Mysore,Coimbatore,130.0,22,1,flood
NH-275,2024-12-10,Coimbatore,Bangalore,10.0,26,0,clear
